Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.108-192.168.0.1-1837-0-6,192.168.0.108,1837,192.168.0.1,0,6,23-03-2024 19:57,15130,2,1,40,0,20,20,20,0,0,0,0,0,2643.754131,198.2815598,7565,10685.79768,15121,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,40,20,132.1877065,66.09385327,0,20,15,10,100,0,2,1,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,13,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2790-0-6,192.168.0.108,2790,192.168.0.1,0,6,23-03-2024 19:58,1448,2,1,100,0,50,50,50,0,0,0,0,0,69060.77348,2071.823204,724,1015.405338,1442,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,20,1381.21547,690.6077348,0,50,37.5,25,625,0,2,1,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,33,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1713-0-6,192.168.0.108,1713,192.168.0.1,0,6,23-03-2024 19:56,5443,2,1,20,0,10,10,10,0,0,0,0,0,3674.44424,551.166636,2721.5,3840.296929,5437,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,20,367.444424,183.722212,0,10,7.5,5,25,0,2,1,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,6,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2950-0-6,192.168.0.108,2950,192.168.0.1,0,6,23-03-2024 19:57,1492,2,1,52,0,26,26,26,0,0,0,0,0,34852.54692,2010.723861,746,1045.103823,1485,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,20,1340.482574,670.2412869,0,26,19.5,13,169,0,2,1,0,1,0,0,0,0,26,26,0,0,0,0,0,0,0,0,17,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1721-0-6,192.168.0.108,1721,192.168.0.1,0,6,23-03-2024 19:56,1003,2,1,20,0,10,10,10,0,0,0,0,0,19940.17946,2991.026919,501.5,696.5001795,994,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,40,20,1994.017946,997.0089731,0,10,7.5,5,25,0,2,1,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,6,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2128-0-6,192.168.0.108,2128,192.168.0.1,0,6,23-03-2024 19:56,935,2,1,182,0,91,91,91,0,0,0,0,0,194652.4064,3208.55615,467.5,651.2453455,928,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,20,2139.037433,1069.518717,0,91,68.25,45.5,2070.25,0,2,1,0,1,0,0,0,0,91,91,0,0,0,0,0,0,0,0,60,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1650-0-6,192.168.0.108,1650,192.168.0.1,0,6,23-03-2024 19:56,1245,2,1,42,0,21,21,21,0,0,0,0,0,33734.93976,2409.638554,622.5,859.1347391,1230,15,15,15,0,15,15,0,0,0,0,0,0,0,0,0,40,20,1606.425703,803.2128514,0,21,15.75,10.5,110.25,0,2,1,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,14,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2332-0-6,192.168.0.108,2332,192.168.0.1,0,6,23-03-2024 19:56,1484,2,1,174,0,87,87,87,0,0,0,0,0,117250.6739,2021.563342,742,1036.618541,1475,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,40,20,1347.708895,673.8544474,0,87,65.25,43.5,1892.25,0,2,1,0,1,0,0,0,0,87,87,0,0,0,0,0,0,0,0,58,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2782-0-6,192.168.0.108,2782,192.168.0.1,0,6,23-03-2024 19:58,1057,2,1,100,0,50,50,50,0,0,0,0,0,94607.37938,2838.221381,528.5,736.0981592,1049,8,8,8,0,8,8,0,0,0,0,0,0,0,0,0,40,20,1892.147588,946.0737938,0,50,37.5,25,625,0,2,1,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,33,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1829-0-6,192.168.0.108,1829,192.168.0.1,0,6,23-03-2024 19:56,1080,2,1,40,0,20,20,20,0,0,0,0,0,37037.03704,2777.777778,540,750.9474016,1071,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,40,20,1851.851852,925.9259259,0,20,15,10,100,0,2,1,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,13,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1057-0-6,192.168.0.108,1057,192.168.0.1,0,6,23-03-2024 19:57,18091072,4,2,184,0,48,44,46,2.309401077,0,0,0,0,10.17076268,0.331655305,3618214.4,8089389.375,1.81E+07,9,1.81E+07,6030034.333,1.04E+07,1.81E+07,9,1.81E+07,1.81E+07,0,1.81E+07,1.81E+07,0,0,0,0,80,40,0.221103537,0.110551768,0,48,32.57142857,22.32231427,498.2857143,0,4,2,0,2,0,0,0,0,38,46,0,0,0,0,0,0,0,0,30,0,0,512,0,3,20,1140,0,1140,1140,8.56E+14,1.21E+15,1.71E+15,1.81E+07,NeedManualLabel
192.168.0.108-192.168.0.1-2780-0-6,192.168.0.108,2780,192.168.0.1,0,6,23-03-2024 19:58,983,2,1,100,0,50,50,50,0,0,0,0,0,101729.3998,3051.881994,491.5,682.3580438,974,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,40,20,2034.587996,1017.293998,0,50,37.5,25,625,0,2,1,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,33,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2330-0-6,192.168.0.108,2330,192.168.0.1,0,6,23-03-2024 19:56,1292,2,1,174,0,87,87,87,0,0,0,0,0,134674.9226,2321.981424,646,905.0966799,1286,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,20,1547.987616,773.993808,0,87,65.25,43.5,1892.25,0,2,1,0,1,0,0,0,0,87,87,0,0,0,0,0,0,0,0,58,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1715-0-6,192.168.0.108,1715,192.168.0.1,0,6,23-03-2024 19:56,1067,2,1,20,0,10,10,10,0,0,0,0,0,18744.14246,2811.621368,533.5,745.9976542,1061,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,20,1874.414246,937.2071228,0,10,7.5,5,25,0,2,1,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,6,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-144.24.146.96-55820-123-17,192.168.0.108,55820,144.24.146.96,123,17,23-03-2024 19:58,5,2,0,96,0,48,48,48,0,0,0,0,0,1.92E+07,400000,5,0,5,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,16,0,400000,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,72,48,0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1835-0-6,192.168.0.108,1835,192.168.0.1,0,6,23-03-2024 19:57,1221,2,1,40,0,20,20,20,0,0,0,0,0,32760.03276,2457.002457,610.5,835.0931086,1201,20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,40,20,1638.001638,819.000819,0,20,15,10,100,0,2,1,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,13,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1047-0-6,192.168.0.108,1047,192.168.0.1,0,6,23-03-2024 19:57,1008,2,1,96,0,48,48,48,0,0,0,0,0,95238.09524,2976.190476,504,705.6925676,1003,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,40,20,1984.126984,992.0634921,0,48,36,24,576,0,2,1,0,1,0,0,0,0,48,48,0,0,0,0,0,0,0,0,32,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2789-0-6,192.168.0.108,2789,192.168.0.1,0,6,23-03-2024 19:58,1969,2,1,100,0,50,50,50,0,0,0,0,0,50787.20163,1523.616049,984.5,1383.807971,1963,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,20,1015.744033,507.8720163,0,50,37.5,25,625,0,2,1,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,33,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1711-0-6,192.168.0.108,1711,192.168.0.1,0,6,23-03-2024 19:56,1325,2,1,20,0,10,10,10,0,0,0,0,0,15094.33962,2264.150943,662.5,931.2596308,1321,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,20,1509.433962,754.7169811,0,10,7.5,5,25,0,2,1,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,6,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2334-0-6,192.168.0.108,2334,192.168.0.1,0,6,23-03-2024 19:56,1573,2,1,174,0,87,87,87,0,0,0,0,0,110616.6561,1907.183725,786.5,1102.379472,1566,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,20,1271.455817,635.7279085,0,87,65.25,43.5,1892.25,0,2,1,0,1,0,0,0,0,87,87,0,0,0,0,0,0,0,0,58,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1657-0-6,192.168.0.108,1657,192.168.0.1,0,6,23-03-2024 19:56,980,2,1,42,0,21,21,21,0,0,0,0,0,42857.14286,3061.22449,490,685.8935778,975,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,40,20,2040.816327,1020.408163,0,21,15.75,10.5,110.25,0,2,1,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,14,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1649-0-6,192.168.0.108,1649,192.168.0.1,0,6,23-03-2024 19:56,1471,2,1,42,0,21,21,21,0,0,0,0,0,28552.00544,2039.42896,735.5,1030.25458,1464,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,20,1359.619307,679.8096533,0,21,15.75,10.5,110.25,0,2,1,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,14,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2792-0-6,192.168.0.108,2792,192.168.0.1,0,6,23-03-2024 19:58,4040,2,1,100,0,50,50,50,0,0,0,0,0,24752.47525,742.5742574,2020,2846.811901,4033,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,20,495.049505,247.5247525,0,50,37.5,25,625,0,2,1,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,33,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1055-0-6,192.168.0.108,1055,192.168.0.1,0,6,23-03-2024 19:57,18091043,4,2,184,0,48,44,46,2.309401077,0,0,0,0,10.17077899,0.331655837,3618208.6,8089199.761,1.81E+07,7,1.81E+07,6029937,1.04E+07,1.81E+07,7,1.81E+07,1.81E+07,0,1.81E+07,1.81E+07,0,0,0,0,80,40,0.221103891,0.110551946,0,48,32.57142857,22.32231427,498.2857143,0,4,2,0,2,0,0,0,0,38,46,0,0,0,0,0,0,0,0,30,0,0,512,0,3,20,1193,0,1193,1193,8.56E+14,1.21E+15,1.71E+15,1.81E+07,NeedManualLabel
192.168.0.108-192.168.0.1-2126-0-6,192.168.0.108,2126,192.168.0.1,0,6,23-03-2024 19:56,1464,2,1,182,0,91,91,91,0,0,0,0,0,124316.9399,2049.180328,732,1018.233765,1452,12,12,12,0,12,12,0,0,0,0,0,0,0,0,0,40,20,1366.120219,683.0601093,0,91,68.25,45.5,2070.25,0,2,1,0,1,0,0,0,0,91,91,0,0,0,0,0,0,0,0,60,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2959-0-6,192.168.0.108,2959,192.168.0.1,0,6,23-03-2024 19:57,1217,2,1,52,0,26,26,26,0,0,0,0,0,42728.01972,2465.078061,608.5,850.6494578,1210,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,20,1643.385374,821.6926869,0,26,19.5,13,169,0,2,1,0,1,0,0,0,0,26,26,0,0,0,0,0,0,0,0,17,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1827-0-6,192.168.0.108,1827,192.168.0.1,0,6,23-03-2024 19:56,1434,2,1,40,0,20,20,20,0,0,0,0,0,27894.00279,2092.050209,717,1001.263202,1425,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,40,20,1394.700139,697.3500697,0,20,15,10,100,0,2,1,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,13,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1717-0-6,192.168.0.108,1717,192.168.0.1,0,6,23-03-2024 19:56,2108,2,1,20,0,10,10,10,0,0,0,0,0,9487.666034,1423.149905,1054,1469.367891,2093,15,15,15,0,15,15,0,0,0,0,0,0,0,0,0,40,20,948.7666034,474.3833017,0,10,7.5,5,25,0,2,1,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,6,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-129.151.47.232-40854-123-17,192.168.0.108,40854,129.151.47.232,123,17,23-03-2024 19:58,31439,2,1,96,48,48,48,48,0,48,48,48,0,4580.298356,95.42288241,15719.5,22220.8306,31432,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,16,8,63.61525494,31.80762747,48,48,48,0,0,0,0,0,0,0,0,0,0,0,64,48,48,0,0,0,0,0,0,0,32,0,16,0,0,1,8,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2903-0-6,192.168.0.108,2903,192.168.0.1,0,6,23-03-2024 19:57,1247,2,1,124,0,62,62,62,0,0,0,0,0,99438.65277,2405.773857,623.5,876.1053019,1243,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,20,1603.849238,801.9246191,0,62,46.5,31,961,0,2,1,0,1,0,0,0,0,62,62,0,0,0,0,0,0,0,0,41,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1053-0-6,192.168.0.108,1053,192.168.0.1,0,6,23-03-2024 19:57,18091181,4,2,184,0,48,44,46,2.309401077,0,0,0,0,10.1707014,0.331653307,3618236.2,8089013.846,1.81E+07,6,1.81E+07,6029785.333,1.04E+07,1.81E+07,6,1.81E+07,1.81E+07,0,1.81E+07,1.81E+07,0,0,0,0,80,40,0.221102204,0.110551102,0,48,32.57142857,22.32231427,498.2857143,0,4,2,0,2,0,0,0,0,38,46,0,0,0,0,0,0,0,0,30,0,0,512,0,3,20,1042,0,1042,1042,8.56E+14,1.21E+15,1.71E+15,1.81E+07,NeedManualLabel
192.168.0.108-192.168.0.1-1723-0-6,192.168.0.108,1723,192.168.0.1,0,6,23-03-2024 19:56,1289,2,1,20,0,10,10,10,0,0,0,0,0,15515.9038,2327.38557,644.5,904.3895731,1284,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,40,20,1551.59038,775.7951901,0,10,7.5,5,25,0,2,1,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,6,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-95.216.192.15-47737-123-17,192.168.0.108,47737,95.216.192.15,123,17,23-03-2024 20:04,190427,2,1,96,48,48,48,48,0,48,48,48,0,756.1952874,15.75406849,95213.5,134643.7377,190421,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,16,8,10.50271233,5.251356163,48,48,48,0,0,0,0,0,0,0,0,0,0,0,64,48,48,0,0,0,0,0,0,0,32,0,16,0,0,1,8,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1833-0-6,192.168.0.108,1833,192.168.0.1,0,6,23-03-2024 19:57,1189,2,1,40,0,20,20,20,0,0,0,0,0,33641.71573,2523.12868,594.5,832.2646815,1183,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,20,1682.085786,841.0428932,0,20,15,10,100,0,2,1,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,13,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2329-0-6,192.168.0.108,2329,192.168.0.1,0,6,23-03-2024 19:56,3871,2,1,174,0,87,87,87,0,0,0,0,0,44949.62542,774.9935417,1935.5,2730.139282,3866,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,40,20,516.6623611,258.3311806,0,87,65.25,43.5,1892.25,0,2,1,0,1,0,0,0,0,87,87,0,0,0,0,0,0,0,0,58,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2952-0-6,192.168.0.108,2952,192.168.0.1,0,6,23-03-2024 19:57,1979,2,1,52,0,26,26,26,0,0,0,0,0,26275.89692,1515.91713,989.5,1393.707466,1975,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,20,1010.61142,505.30571,0,26,19.5,13,169,0,2,1,0,1,0,0,0,0,26,26,0,0,0,0,0,0,0,0,17,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1655-0-6,192.168.0.108,1655,192.168.0.1,0,6,23-03-2024 19:56,3174,2,1,42,0,21,21,21,0,0,0,0,0,13232.51418,945.1795841,1587,2235.871642,3168,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,20,630.1197227,315.0598614,0,21,15.75,10.5,110.25,0,2,1,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,14,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1049-0-6,192.168.0.108,1049,192.168.0.1,0,6,23-03-2024 19:57,18091146,4,2,184,0,48,44,46,2.309401077,0,0,0,0,10.17072108,0.331653948,3618229.2,8088755.593,1.81E+07,8,1.81E+07,6029667.667,1.04E+07,1.81E+07,8,1.81E+07,1.81E+07,0,1.81E+07,1.81E+07,0,0,0,0,80,40,0.221102632,0.110551316,0,48,32.57142857,22.32231427,498.2857143,0,4,2,0,2,0,0,0,0,38,46,0,0,0,0,0,0,0,0,30,0,0,512,0,3,20,1155,0,1155,1155,8.56E+14,1.21E+15,1.71E+15,1.81E+07,NeedManualLabel
192.168.0.108-192.168.0.1-2787-0-6,192.168.0.108,2787,192.168.0.1,0,6,23-03-2024 19:58,2838,2,1,100,0,50,50,50,0,0,0,0,0,35236.08175,1057.082452,1419,1996.86955,2831,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,20,704.721635,352.3608175,0,50,37.5,25,625,0,2,1,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,33,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1646-0-6,192.168.0.108,1646,192.168.0.1,0,6,23-03-2024 19:56,1304,2,1,42,0,21,21,21,0,0,0,0,0,32208.58896,2300.613497,652,905.0966799,1292,12,12,12,0,12,12,0,0,0,0,0,0,0,0,0,40,20,1533.742331,766.8711656,0,21,15.75,10.5,110.25,0,2,1,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,14,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-2904-0-6,192.168.0.108,2904,192.168.0.1,0,6,23-03-2024 19:57,1715,2,1,124,0,62,62,62,0,0,0,0,0,72303.207,1749.271137,857.5,1194.303353,1702,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,40,20,1166.180758,583.090379,0,62,46.5,31,961,0,2,1,0,1,0,0,0,0,62,62,0,0,0,0,0,0,0,0,41,0,0,512,0,1,20,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
192.168.0.108-192.168.0.1-1052-0-6,192.168.0.108,1052,192.168.0.1,0,6,23-03-2024 19:57,18090924,4,2,184,0,48,44,46,2.309401077,0,0,0,0,10.17084589,0.331658018,3618184.8,8088872.076,1.81E+07,9,1.81E+07,6029762.667,1.04E+07,1.81E+07,9,1.81E+07,1.81E+07,0,1.81E+07,1.81E+07,0,0,0,0,80,40,0.221105345,0.110552673,0,48,32.57142857,22.32231427,498.2857143,0,4,2,0,2,0,0,0,0,38,46,0,0,0,0,0,0,0,0,30,0,0,512,0,3,20,1279,0,1279,1279,8.56E+14,1.21E+15,1.71E+15,1.81E+07,NeedManualLabel
192.168.0.108-95.216.192.15-51189-123-17,192.168.0.108,51189,95.216.192.15,123,17,23-03-2024 19:59,172654,2,1,96,48,48,48,48,0,48,48,48,0,834.0380182,17.37579205,86327,122074.9147,172647,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,16,8,11.58386136,5.791930682,48,48,48,0,0,0,0,0,0,0,0,0,0,0,64,48,48,0,0,0,0,0,0,0,32,0,16,0,0,1,8,0,0,0,0,1.71E+15,0,1.71E+15,1.71E+15,NeedManualLabel
